"country","ctype","category","nr_features","mean_conservedarea","prop"
"AT","cdda","Habitats",71,2958.47593735406,0.346626962417809
"AT","cdda","Species",425,3485.73122866186,0.290955975900273
"AT","combined","Habitats",71,3774.47679641206,0.442232911255969
"AT","combined","Species",425,4753.50671501348,0.396777919321136
"AT","natura2000","Habitats",71,2267.85707473755,0.265711273527231
"AT","natura2000","Species",425,2896.55274622785,0.241776911503793
"BE","cdda","Habitats",59,990.353031803459,0.210520758760507
"BE","cdda","Species",269,2176.2568803544,0.202982328141316
"BE","combined","Habitats",59,2349.83884097342,0.49950859933835
"BE","combined","Species",269,4827.5997974219,0.450276552856051
"BE","natura2000","Habitats",59,1667.71919812823,0.354509452402115
"BE","natura2000","Species",269,3333.9650574976,0.310963285364756
"BG","cdda","Habitats",87,1575.72252922019,0.216536921968972
"BG","cdda","Species",450,2215.88586238486,0.209164685394837
"BG","combined","Habitats",87,3542.50080755953,0.486813004943412
"BG","combined","Species",450,4874.74526461669,0.460143085174741
"BG","natura2000","Habitats",87,2366.99209332519,0.325273753724081
"BG","natura2000","Species",450,3088.31098396499,0.291515734693969
"CY","cdda","Habitats",40,803.725876709223,0.56600400069277
"CY","cdda","Species",149,1829.25357312132,0.408144310128521
"CY","combined","Habitats",40,882.20908780694,0.621273854203527
"CY","combined","Species",149,2035.35337711394,0.454129439557383
"CY","natura2000","Habitats",40,384.492587858438,0.270769428069323
"CY","natura2000","Species",149,896.327759847385,0.199989272562534
"CZ","cdda","Habitats",60,3654.89637307916,0.274693197588784
"CZ","cdda","Species",384,4519.37847745942,0.245507590002346
"CZ","combined","Habitats",60,4841.96727917827,0.363910579964171
"CZ","combined","Species",384,6188.28918243156,0.336168340233272
"CZ","natura2000","Habitats",60,2755.26340221436,0.207078952970693
"CZ","natura2000","Species",384,3569.08898063011,0.193884720766075
"DE","cdda","Habitats",93,11065.801661969,0.461420148105174
"DE","cdda","Species",431,24155.3311500156,0.445755427948331
"DE","combined","Habitats",93,14645.6212645855,0.610690932142
"DE","combined","Species",431,31910.9598864771,0.588875536009507
"DE","natura2000","Habitats",93,7889.31282294029,0.328967390243421
"DE","natura2000","Species",431,16619.7782184738,0.306696534509483
"DK","cdda","Habitats",60,4639.46883847069,0.668459295262522
"DK","cdda","Species",241,10686.4229278111,0.730253479780661
"DK","combined","Habitats",60,4766.41911145982,0.686750417149585
"DK","combined","Species",241,10888.8684688913,0.744087533830875
"DK","natura2000","Habitats",60,1015.05982796222,0.146250831910445
"DK","natura2000","Species",241,1757.03963219182,0.120066772032897
"EE","cdda","Habitats",60,2894.30066464027,0.224045981006859
"EE","cdda","Species",307,3358.96882072303,0.231429468998153
"EE","combined","Habitats",60,4735.57713907825,0.366578026505863
"EE","combined","Species",307,5552.74626844998,0.382578460526537
"EE","natura2000","Habitats",60,2360.32342931191,0.182711141476861
"EE","natura2000","Species",307,2834.60729283852,0.195301503411604
"ES","cdda","Habitats",117,5134.7919704005,0.20882109848215
"ES","cdda","Species",674,4620.01062772635,0.175385044905394
"ES","combined","Habitats",117,10832.3176653582,0.440527383977207
"ES","combined","Species",674,9683.37350574729,0.367600647086813
"ES","natura2000","Habitats",117,10280.233017839,0.418075272340616
"ES","natura2000","Species",674,9177.68638860876,0.34840373080706
"ESIC","cdda","Species",78,1587.87972838695,0.32748444953512
"ESIC","combined","Species",78,1885.27185562533,0.388818627019503
"ESIC","natura2000","Species",78,1642.64746283384,0.338779751721417
"FI","cdda","Habitats",68,8166.33765103031,0.153328393802744
"FI","cdda","Species",370,6130.81092364011,0.11018726135838
"FI","combined","Habitats",68,11708.5111991534,0.219835046345546
"FI","combined","Species",370,9726.20332829831,0.174806191466044
"FI","natura2000","Habitats",68,9636.96199374775,0.180940339082478
"FI","natura2000","Species",370,7482.51085804519,0.134480966678192
"FR","cdda","Habitats",130,4903.60295415271,0.306501071420491
"FR","cdda","Species",579,7653.3322214415,0.206654627691034
"FR","combined","Habitats",130,7300.08778726692,0.456294024859026
"FR","combined","Species",579,12714.1450266243,0.343306265778701
"FR","natura2000","Habitats",130,3928.14906779125,0.245530054072601
"FR","natura2000","Species",579,7001.11748176995,0.189043580762673
"GIB","cdda","Species",30,0.200003957748413,0.000722905871379806
"GIB","combined","Species",30,0.200003957748413,0.000722905871379806
"GIB","natura2000","Species",30,0.16000316619873,0.000578324697103845
"GR","cdda","Habitats",88,2529.31823178665,0.152682126764457
"GR","cdda","Species",547,6175.35606186823,0.15113793204881
"GR","combined","Habitats",88,4975.43175691186,0.300341606947622
"GR","combined","Species",547,11933.7800691979,0.292071715717375
"GR","natura2000","Habitats",88,3577.35484687605,0.215946787299418
"GR","natura2000","Species",547,8368.74532961366,0.204819746361454
"HR","cdda","Habitats",75,959.310139594815,0.16539829993014
"HR","cdda","Species",459,1437.62859147551,0.153535242624826
"HR","combined","Habitats",75,1994.06134344052,0.34380367670474
"HR","combined","Species",459,3028.34249791128,0.323419624350885
"HR","natura2000","Habitats",75,1004.04273534596,0.173110815472571
"HR","natura2000","Species",459,1546.90351858596,0.165205539269666
"HU","cdda","Habitats",45,3784.80860685719,0.195429015844606
"HU","cdda","Species",414,4358.64180654907,0.182830638954171
"HU","combined","Habitats",45,8480.34647007077,0.437883638729988
"HU","combined","Species",414,9870.47257595486,0.414033748614029
"HU","natura2000","Habitats",45,6505.88494659212,0.335932097070161
"HU","natura2000","Species",414,7606.50635952939,0.319067837901948
"IE","cdda","Habitats",59,516.349251061779,0.0322308567632723
"IE","cdda","Species",198,878.891216857385,0.0231376342473524
"IE","combined","Habitats",59,3157.22665005417,0.197076145104947
"IE","combined","Species",198,5298.07506427681,0.139476787002806
"IE","natura2000","Habitats",59,2740.34942187616,0.171054396837382
"IE","natura2000","Species",198,4567.2029566518,0.120235894406012
"IT","cdda","Habitats",132,2760.91107792066,0.176692934296905
"IT","cdda","Species",598,3794.68773185622,0.150081036865211
"IT","combined","Habitats",132,5546.48908488349,0.354964504033181
"IT","combined","Species",598,7713.74687900082,0.305081000413224
"IT","natura2000","Habitats",132,4855.65610522734,0.31075253818586
"IT","natura2000","Species",598,6661.85270729624,0.263478270766768
"LT","cdda","Habitats",53,4072.11872338349,0.249361400738677
"LT","cdda","Species",307,4118.84520226052,0.242563666351757
"LT","combined","Habitats",53,5033.72902435177,0.308246838001899
"LT","combined","Species",307,5081.11518169095,0.299232883565664
"LT","natura2000","Habitats",53,3212.69029783258,0.196733201369297
"LT","natura2000","Species",307,3216.78821046695,0.189440463005668
"LU","cdda","Habitats",28,626.891034163747,0.45239559166456
"LU","cdda","Species",182,953.709074731712,0.457981666493856
"LU","combined","Habitats",28,893.017759550185,0.644445805860959
"LU","combined","Species",182,1367.25612162496,0.656571541255256
"LU","natura2000","Habitats",28,752.657827121871,0.543155132974546
"LU","natura2000","Species",182,1137.74131289891,0.546355986669133
"LV","cdda","Habitats",46,3170.62806039271,0.191729841958807
"LV","cdda","Species",283,4508.17417191423,0.179011265651274
"LV","combined","Habitats",46,3409.21975170961,0.206157629260736
"LV","combined","Species",283,4851.28579597788,0.192635594202276
"LV","natura2000","Habitats",46,2576.05541858673,0.155775666169304
"LV","natura2000","Species",283,3672.53994322143,0.145829774617686
"MT","cdda","Habitats",29,173.024089957928,0.244765785794142
"MT","cdda","Species",77,162.35643735737,0.193520830905843
"MT","combined","Habitats",29,275.534150156482,0.389780017294535
"MT","combined","Species",77,263.433748781939,0.313999979198287
"MT","natura2000","Habitats",29,162.161808595986,0.229399631672371
"MT","natura2000","Species",77,151.314662239768,0.180359581926659
"NL","cdda","Habitats",52,2141.20797014741,0.355614226916848
"NL","cdda","Species",266,6532.79759145279,0.323638106061033
"NL","combined","Habitats",52,3277.41774591498,0.54431722385046
"NL","combined","Species",266,10100.3285226611,0.500375397815029
"NL","natura2000","Habitats",52,1518.79558981107,0.252243279048788
"NL","natura2000","Species",266,4437.36407722523,0.219829266979795
"PL","cdda","Habitats",81,8837.22353893613,0.431792389804031
"PL","cdda","Species",183,8552.65826633406,0.444103889816188
"PL","combined","Habitats",81,10681.5900587811,0.521909316661157
"PL","combined","Species",183,10146.2388815042,0.526851885363562
"PL","natura2000","Habitats",81,4700.7306694324,0.229680704650781
"PL","natura2000","Species",183,4508.62992576813,0.234114358239005
"PT","cdda","Habitats",99,839.68243892885,0.117645103403749
"PT","cdda","Species",478,1193.03620971929,0.0965061575926945
"PT","combined","Habitats",99,2091.47583740398,0.293029696339624
"PT","combined","Species",478,2932.540055942,0.23721675027947
"PT","natura2000","Habitats",99,1940.31843618239,0.27185153803648
"PT","natura2000","Species",478,2734.95592927494,0.221233928752615
"PTAC","cdda","Species",32,546.560825133324,0.122822657333331
"PTAC","combined","Species",32,720.066340453923,0.161812660776162
"PTAC","natura2000","Species",32,386.032649001479,0.0867489098879728
"PTMA","cdda","Species",43,408.389426796381,0.315840739290107
"PTMA","combined","Species",43,450.753050201623,0.348603969478153
"PTMA","natura2000","Species",43,254.251512600655,0.196633364061657
"RO","cdda","Habitats",87,910.007575454628,0.146526643230666
"RO","cdda","Species",243,859.469988736673,0.0984883973847784
