"year","area_km2","fullprop"
"<2000",287617.694711012,0.0657416619783242
"2000-2006",594825.795136921,0.135961163304541
"2006-2012",944487.719842994,0.215884465950485
"2012-2018",1137409.54081044,0.259981200523884
"2018-2024",1206505.91373431,0.27577477121241
